vertex,summand,sigma,q,birth,death,essential
0,del,{},1,0,1,no
0,del,{},1,0,1,no
0,del,{},2,1,inf,yes
0,del,{1},1,0,1,no
0,del,{1},2,1,inf,yes
0,del,{2},1,0,1,no
0,del,{2},2,1,inf,yes
0,del,{3},1,0,1,no
0,del,{3},2,1,inf,yes
0,del,"{1,2}",2,1,inf,yes
0,del,"{1,3}",2,1,inf,yes
0,del,"{2,3}",2,1,inf,yes
0,link,{},0,0,2,no
0,link,{},1,2,3,no
0,link,{},1,2,3,no
0,link,{},2,3,inf,yes
0,link,{1},1,2,3,no
0,link,{1},2,3,inf,yes
0,link,{2},1,2,3,no
0,link,{2},2,3,inf,yes
0,link,{3},1,2,3,no
0,link,{3},2,3,inf,yes
0,link,"{1,2}",2,3,inf,yes
0,link,"{1,3}",2,3,inf,yes
0,link,"{2,3}",2,3,inf,yes
1,del,{},1,0,1,no
1,del,{},1,0,2,no
1,del,{},2,2,3,no
1,del,{0},1,0,2,no
1,del,{0},2,2,3,no
1,del,{2},1,0,1,no
1,del,{2},2,2,3,no
1,del,{3},1,0,1,no
1,del,{3},2,2,3,no
1,del,"{0,2}",2,2,3,no
1,del,"{0,3}",2,2,3,no
1,del,"{2,3}",2,1,3,no
1,del,"{0,2,3}",3,3,inf,yes
1,link,{},0,0,1,no
1,link,{},1,1,3,no
1,link,{},1,2,3,no
1,link,{0},1,2,3,no
1,link,{0},2,3,inf,yes
1,link,{2},1,1,3,no
1,link,{3},1,1,3,no
1,link,"{0,2}",2,3,inf,yes
1,link,"{0,3}",2,3,inf,yes
2,del,{},1,0,1,no
2,del,{},1,0,2,no
2,del,{},2,2,3,no
2,del,{0},1,0,2,no
2,del,{0},2,2,3,no
2,del,{1},1,0,1,no
2,del,{1},2,2,3,no
2,del,{3},1,0,1,no
2,del,{3},2,2,3,no
2,del,"{0,1}",2,2,3,no
2,del,"{0,3}",2,2,3,no
2,del,"{1,3}",2,1,3,no
2,del,"{0,1,3}",3,3,inf,yes
2,link,{},0,0,1,no
2,link,{},1,1,3,no
2,link,{},1,2,3,no
2,link,{0},1,2,3,no
2,link,{0},2,3,inf,yes
2,link,{1},1,1,3,no
2,link,{3},1,1,3,no
2,link,"{0,1}",2,3,inf,yes
2,link,"{0,3}",2,3,inf,yes
3,del,{},1,0,1,no
3,del,{},1,0,2,no
3,del,{},2,2,3,no
3,del,{0},1,0,2,no
3,del,{0},2,2,3,no
3,del,{1},1,0,1,no
3,del,{1},2,2,3,no
3,del,{2},1,0,1,no
3,del,{2},2,2,3,no
3,del,"{0,1}",2,2,3,no
3,del,"{0,2}",2,2,3,no
3,del,"{1,2}",2,1,3,no
3,del,"{0,1,2}",3,3,inf,yes
3,link,{},0,0,1,no
3,link,{},1,1,3,no
3,link,{},1,2,3,no
3,link,{0},1,2,3,no
3,link,{0},2,3,inf,yes
3,link,{1},1,1,3,no
3,link,{2},1,1,3,no
3,link,"{0,1}",2,3,inf,yes
3,link,"{0,2}",2,3,inf,yes
